case_id,image_filename,asset_url,source_page_url,author,license,notes
real-kotori-chips,real-kotori-chips.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Kotori%20Tomato%20Flavour%20chips%20packet.jpg,https://commons.wikimedia.org/wiki/File:Kotori_Tomato_Flavour_chips_packet.jpg,Xzantiyamoloy,CC BY-SA 4.0,Own-work camera photograph of an Indian chips packet with curved reflective packaging and declaration text
real-monte-carlo-biscuits,real-monte-carlo-biscuits.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Packet%20of%20Monte%20Carlo%20Biscuits.jpg,https://commons.wikimedia.org/wiki/File:Packet_of_Monte_Carlo_Biscuits.jpg,Williamkentler,CC BY-SA 4.0,Own-work camera photograph of a physical biscuit packet
real-walkers-crisps,real-walkers-crisps.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Packet%20of%20walkers%20crisps.jpg,https://commons.wikimedia.org/wiki/File:Packet_of_walkers_crisps.jpg,Arpz,CC BY-SA 4.0,Own-work camera photograph of an opened physical crisps packet
real-snickers-wrapper,real-snickers-wrapper.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/2019-01-28%2019%2055%2014%20A%20Snickers%20bar%20with%20the%20wrapper%20still%20intact%20in%20the%20Dulles%20section%20of%20Sterling%2C%20Loudoun%20County%2C%20Virginia.jpg,https://commons.wikimedia.org/wiki/File:2019-01-28_19_55_14_A_Snickers_bar_with_the_wrapper_still_intact_in_the_Dulles_section_of_Sterling%2C_Loudoun_County%2C_Virginia.jpg,Famartin,CC BY-SA 4.0,Own-work iPhone camera photograph of an intact physical confectionery wrapper
real-airplane-chips,real-airplane-chips.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Packet%20of%20chips%20in%20an%20aeroplane%20cabin.jpg,https://commons.wikimedia.org/wiki/File:Packet_of_chips_in_an_aeroplane_cabin.jpg,Edoddridge,CC BY-SA 3.0,Own-work camera photograph of a physical chips packet in a non-studio environment
real-cadbury-hindi-wrapper,real-cadbury-hindi-wrapper.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Cadbury%20Dairy%20Milk%27s%20%27Thodi%20Thodi%20Hindi%27%20Wrapper.jpg,https://commons.wikimedia.org/wiki/File:Cadbury_Dairy_Milk%27s_%27Thodi_Thodi_Hindi%27_Wrapper.jpg,Kaviya Rajendran,CC BY-SA 4.0,Own-work phone photograph of a physical Cadbury Dairy Milk wrapper
